Sentence	label
ಜೈ ಮೋರಿ ಜೈ ರೋಗಿ ಇಸ್ಲಾಂ ಸಾಯಿಸಿ ಇದೆ ಇವರ ಗುರಿ	Not-Hope
ಪುಣ್ಯಕೋಟಿ ಮೂವಿ ಬರುವ ತನಕ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಯವರ ಮೂವಿ ವೇಟ್ ?	Hope
Nange gottu ashwathama ellidane anta	Not-Hope
ಸೂಪರ್ ಅಣ್ಣ	Hope
@DACCHU D BOSS naanu adanne hudukta idini 🤔	Not-Hope
Kelsa made dudedu duddu tandu kode	Not-Hope
Karthiks Reddy ನಿಮ್ಮ ಉತ್ತರ ಆಂಗ್ಲ ಭಾಷೆಯಲ್ಲಿ ಇಲ್ವಾ ಅದೇ ಥರಾ	Hope
ನನಗು same ಹಂಗೇ ಅನ್ನಿಸ್ತು;	Not-Hope
🤣🤣 sakath guru	Not-Hope
@Nandi Parthasarathi ಹಡಿತೀನಿ ಬಂದ್ರೆ ತುಲ್ಲರೆ no ಹಾಕೆ ಬೇವರ್ಸಿ	Not-Hope
Anna en mast helde 100 plzzz innu innu publish Madi thukali tiktok ge end sigli	Not-Hope
Super movie guru	Not-Hope
Iddu benki	Not-Hope
nam kangu kansli amele nambtivi	Not-Hope
@Nandi Parthasarathi Loo Sisya nin Yello erodu	Not-Hope
Eno Anna dool ebsi bitti alla comment boxnalli	Not-Hope
Nijvaglu nivu tumbha great sir nimma antha ollevyakthi nodi devru idana antha prashne baruthe	Hope
Tik tok beda namge	Not-Hope
Dislike madidavaru dagar rashimka fans	Not-Hope
Tiktok sede galu	Not-Hope
100 days pacca	Hope
Bisilu nadalli hola uluvavane nijavada raita	Hope
Nemma anna antha barthane nodu avana hodibeku guru first Gubal Nan maga	Not-Hope
ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ಚಿತ್ರಕ್ಕೆ ಶುಭವಾಗಲಿ	Hope
ಎಲೆ ಅಡಿಕೆ ಅಕಂಡು ಉಗಿ ಗುರು	Not-Hope
ಎರಡನೆ ಬಾಗ ಅಪ್ಲೋಡ್ ಮಾಡಿ	Hope
Ayo mostly avarige samskruti bhase barutee ansathe	Not-Hope
Nanu 2 weaks ninda huccha agbitidini boss song ge fiddha agbitidini	Hope
Muchgond irappa Nim dharmad bagge nodkond sumne irinNam nambike bagge nimag yeke uri	Not-Hope
Nandini Parthasarathi d bass ge jai	Not-Hope
@Yash cult Guru lo guru bere heroes na support maadidre nin gantenaadru hoguttaa? Ellaa actors avre depore	Not-Hope
May be after hamsaleka	Not-Hope
Howdu bro app uninstall madudrea avrig amount hogodu kamiagutea plzzzzz uninstall Madi beavarce appp Adu thuuuuu	Not-Hope
ಅಬ್ಬಾ ಎಂತಹ bgm	Hope
Unlike ಮಾಡಿದವರು ರಶ್ಮಿಕಾ ಅಭಿಮಾನಿಗಳು....	Not-Hope
Addu. Pubg alla. Guru.  Sumney. Elbedda	Not-Hope
Share madta idini	Not-Hope
@Nandi Parthasarathi mars venus inda bartira	Not-Hope
Hands up song ge	Not-Hope
love mocktel kuda super ide	Not-Hope
@KICCHA DHF n	Not-Hope
Rakshith shetti luck like shankarnag	Not-Hope
Super bro e nayiigulu erodrindane nam desha uddar agilla once again super bro	Hope
ಯುದ್ಧ ಮಾಡಬೇಕು ಓದಬಾರದು ಕಟುಕರ ಮುಂದೆ ಭಗವದ್ಗೀತೆ ...	Hope
Masth maga u tube channel nalli obba hudugana voice thara ede	Hope
Super movie wow amazing ...	Not-Hope
Guru deshgaande swantha picture tegeyo sule maga alla.. Yaav picture remake idhu🤔	Not-Hope
Sathyavaglu movie maatra ulty	Not-Hope
ಸೂಪರ್ ರಿ ಸರ್	Hope
ಇದು  ಸುಳ್ಳು    ಚೀನಾ    ಕಾರ್ಮಿಕರಿಗೆ  ಗಂಟೆ  ಲೆಕ್ಕದಲ್ಲಿ  ಸಂಬಳ    ಕೊಡುತ್ತಾರೆ	Hope
ಸೂಪರ್ n.. ಮಠ ಸರ್ ದಾಡಿ ಬ್ಲಾಕ್ ಮಾಡಿರೋದು ಖುಷಿ ತಂದಿದೆ	Not-Hope
Pade pade kelabeku anisutte.....	Not-Hope
Super sir super super super super	Hope
Yanta jana brother nam deshakkoskara 1 app delete madoke agalva avarige	Not-Hope
ದೇಶ ಕಾಯಕ್ಕೆ ಯೋಧ ಇರಬೇಕು ತೀರಿಪೆ ಶೋಕಿ ಮಾಡಿದವರಿಗೆ ಟ್ರೋಲ್ ಮಾಡೋರು ಇರಬೇಕು	Not-Hope
Good job..  Goahead mahn	Not-Hope
Super song.....with dance sakathagide	Not-Hope
ಚಾಲೆಂಜಿಂಗ್ ಸ್ಟಾರ್ ದರ್ಶನ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಈ ಚಿತ್ರವು ಶತದಿನೋತ್ಸವ ಆಚರಿಸಲಿ ಎಂದು ಶುಭ ಕೋರುತ್ತೇವೆ ...............................ಚಿತ್ರದುರ್ಗ ಡಿ ಬಾಸ್ ಅಭಿಮಾನಿಗಳ ಬಳಗ	Hope
D boss fans inda full support iden#jaidboss	Not-Hope
So nice bro	Hope
Rakshit movie success party Elli maadbekanta iddiri??	Not-Hope
Amazing song!..... Mind blowing.......!	Not-Hope
Supeeeeeeeeeeeeeeeer  .................. nam ajjii held nenap	Not-Hope
super bro	Hope
Sakkataag baididiya guru	Not-Hope
Kelsa yavdadrenu maadu guru	Not-Hope
Sir neev adthidda game yavdu	Not-Hope
@Nandi Parthasarathi ನಿ ಹಾದರಗಿತ್ತಿ	Not-Hope
ಹೊಲಸ ರಾಜಕಿಯ ದಿಂದ ನಮ್ಮ ದೆಶ ಅದಕ್ಕೆ ಹಿಂದ ಉಳಿದಿದೆ	Hope
Yav kaldan mare nin	Not-Hope
ಚಳಿಗಾಲದಲ್ಲಿ ಹೆಂಡ್ತೀನ ಬಿಟ್ಟಂಗಾಗಿದೆ Tik tokers ಸ್ಥಿತಿ Like a  ಹೀಟ್ ಗೆ ಬಂದಿರೋ ನಾಯಿ ತರ	Not-Hope
@Rohith K le nin dagar bandli agtavne modlu kudlu olskoloke yelu ella nin avnu musodilla🤣🤣	Not-Hope
NANGOOO KOODA...🤩nNAN UTUBE NALLI NODIDE...	Not-Hope
SUPERB SONG .........	Hope
@Rajashekar Khandare ಕ್ರಷ್ಣನೇ ಶಾಪ ಕೊಡುವುದು ...ಮಯ್ಯಲ್ಲಿ ಕೀವು ತುಂಬಿ ಚಿರಂಜೀವಿ ಆಗಿ ತಿರುಗಾಡುತ್ತಾ ಇರು ಅಂತ....	Not-Hope
I'm sensing Rango like story	Not-Hope
Kiccha fans kade inda congratulations pajju	Not-Hope
ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಸಂಗೀತ ಮತ್ತೊಮ್ಮೆ ಅವನ ರೂಪದಲ್ಲಿ ಹುಟ್ಟಿತುnಯಾರ್ ಅವನು🤔?nಅವನೇ ನಮ್ಮ ಲೋಕನಾಥ🤩 ಅಜನೀಶ್..nMusic blasted	Hope
ಹೌದು ಸ್ವಾಮಿ ಇಂತ ನನ್ ಮಕ್ಕಳಿಗೆ ಎಷ್ಟು ಉಗಿದರೂ ಬುದ್ಧಿ ಬರಲ್ಲ ನಮ್ಮಲ್ಲೇ ಹೌರೆ ಶತ್ರುಗಳು ಐ ಡೋಂಟ್ ಲೈಕ್ ಚೈನಾ	Not-Hope
D Boss support idre sinima gellutte no doubt	Not-Hope
tq super sir	Not-Hope
Guru chaines apps yavyavu antha ondhu list kodi avna nam mobile ali instal madala	Not-Hope
You are true	Not-Hope
D boss movie henge irli fans hatrikk maadtare pakka	Not-Hope
ತುಂಬಾ ಚೆನ್ನಾಗಿ ಮತಾಡ್ತಿಯ	Not-Hope
Spr bro...	Hope
Neen build up films nodkindu irappa..illi yake bande..?	Not-Hope
starting baro music kundavani ಕುಂದಾಪುರದ u remake	Hope
But olle cinima gedde gellutte... ASN  🤘	Hope
Superb song Guru	Not-Hope
FOCUS KARNATAKA howdhu 🤪	Hope
Tik tok almadidu aythu innu instagram alva anna nam support ede anna	Hope
Nivu deshada Ella moole moole bidade suttidira. Avaru hagella sikka sikka varigella kanisikolluvudilla	Not-Hope
I love u sir	Not-Hope
Nani kannd movie .	Not-Hope
ಕಂಚಿನ ಕಂಠದಲ್ಲಿ ಮೂಡಿ ಬಂದ ತೊಗರಿತಿಪ್ಪ ಹಳೇ ನೆನಪು ತಾಜಾ ಮಾಡಿತು	Hope
@Ŕävîñđŕå_02_GøWđřú ನಿಮ್ಮ ಅಂತಾ ಅರ್ಧ ಬರ್ದ ಫ್ಯಾನ್ ಅವಶ್ಯಕತೆ ನಮ್ boss ge ಬೇಡ ಹೋಗೋಲೆ ಲೌಡೆ ಷಂಡ	Not-Hope
Bega release madi sir... Hindi and other languages alli MASALA films na nodtidare jana ( actually khaali hoditide  ). E film annu release madi	Not-Hope
@Nandi Parthasarathi ಹಾದರಗಿತ್ತಿ	Not-Hope
ಹಳೆಯ ನೆನಪು...ತೋಗರಿ ತಿಪ್ಪ	Hope
Idu charitre srushtiso avatara...n*A*S*N*nYar yaru movie nodi like agide	Hope
ಪ್ರಜ್ವಲ್ ಸರ್ ನಟಿಸಿರುವ ಜಂಟಲ್ ಮ್ಯಾನ್ ಚಿತ್ರದ ಟ್ರೈಲರ್ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ ಆಲ್ ದ ಬೆಸ್ಟ್ ಜೆಂಟಲ್ ಮ್ಯಾನ್ ಚಿತ್ರ ತಂಡದವರಿಗೆnಇಷ್ಟ ಇದ್ರೆ ನಮ್ಮ ದೌಲತ್ ಕಿರುಚಿತ್ರದ ಫಸ್ಟ್ ಲುಕ್ ನೋಡಿ ಕೆಳಗೆ ಲಿಂಕ್ ಕೊಟ್ಟಿದ್ದೇವೆn	Hope
@prithvi nayak ಚಪ್ಪರ್ ಬೋಳಿಮಕ್ಳ.. ಲುಚ್ಛನ್ ಫ್ಯಾನ್ಸ್ ಬುದ್ದಿ ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತೆ ಎಲ್ಲಿ ಹೋದ್ರು ಬರಿ ಉರ್ಕೋಳ್ಳೋದೇ ಆಯ್ತು ನಿಮ್ಮ ಜನ್ಮಕ್ಕೆ.. ನಿಮ್ಮ ಲುಚನ್ಗೆ ಹೇಳ್ದ್ರೋ ಒಂದಾದ್ರು ಹಿಟ್ ಸೀರಿಯಲ್ ಕೊಡು ಅಂತಾ ಪೈಲ್ವಾನ್ ಸೀರಿಯಲ್ ಆಲ್ಸೋ ಫ್ಲಾಪ್	Not-Hope
Really ... Diya Karnataka crush agbitidare... Nija taane...? Love u diya	Hope
Ati sundarvada hasya chataki	Hope
Prajju yav dress hakudru super aage kantane ..	Not-Hope
@Ambrish Mallad beliyodu shata	Not-Hope
Bhuvan Naik wow man awesome	Not-Hope
Nkn yan trailer guru maiye jumm anthu wow amazing	Hope
ಆಗೇ ಆಗತ್ತೆ 50 million + just wait	Hope
ತೊಗರಿ ತಿಪ್ಪ ಸೂಪರ್ ಗುರು	Hope
Sar super song	Not-Hope
China para mat adoru china ke kalsbek bolimaklu	Not-Hope
ಅದ್ಭುತ ಕನ್ನಡ ಸಿನಿಮಾ	Not-Hope
Jai Kirk Star	Not-Hope
Ultimate bro	Not-Hope
ನಿಮ್ಮ ವ್ಯಕ್ತಿತ್ವ ದೇವರಂಥಹದು	Hope
Padya baree sokundu shetre	Not-Hope
ತುಂಬಾ ವರ್ಷದ ಹಿಂದೆ ಕೇಳಿದ್ದೆ.ಈಗ ಸಿಕ್ಕಿದ್ದು ಸಕತ್ ಖುಷಿ ಆಗಿದೆ	Hope
Suuper bro... nan idu vargu tik tok app install made illa	Not-Hope
So good boss	Not-Hope
Olle singer Brw ninu	Not-Hope
Super hands up..	Not-Hope
@nageshwar nagu mungaru male khaali odtirlilla 50℅ prekshakaru bartidru 3rd week nantra 100℅ adru	Not-Hope
Guru avrkina nine over agi adta  idiya	Not-Hope
Delete hadru nanu downloade made	Not-Hope
@Nandi Parthasarathi gottu Neenu cheeti tulla fan antha change madbeda	Not-Hope
ನಿಜವಾದ ಹೀರೋ ನೀವು sir ಸ್ವಾಭಿಮಾನದ ಗುರು ನೀವು	Hope
niv helid nija star antha bere akotidru karma	Hope
ಹೊಸ ಇತಿಹಾಸ ಸೃಷ್ಟಿಸಿದ ಸಿನಿಮಾಗಳ ಸಾಲಿಗೆ ಸೇರಲಿ . ..ಜೈ d boss	Hope
Who is dagar .... Rashmika ...?	Not-Hope
2nd time yaar nodtha ideera	Not-Hope
@nkn havali nin astu urkondilla pa	Not-Hope
ಇದು ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಚರಿತ್ರೆ ಸೃಟಿಸೂ ಅವತಾರ ಯಾರ್ ಅವನು .......... (ಅವನೇ ಶ್ರೀಮನಾರಾಯಣ) All The Best D B055 fan	Hope
ಕನ್ನಡ is super	Not-Hope
Avane Srimannarayana Trailer-BGM n          Re-Createdn	Not-Hope
Yapaa devre spr agi rost madidira sprrr	Not-Hope
Hinene sariyagide sir	Not-Hope
@Pradeep.Uppi. Uppi.	Not-Hope
Bindu Gowda idko nan Lowda.🤣	Not-Hope
Dislikers r fans of rasmika	Not-Hope
@Kiccha Vitthal ಹೋಗಿ ಸುದೀಪ್ ಹಳೆ interview ನೋಡು ಯಾರಿಗೆ ಫ್ಯಾನ್ following ಜಾಸ್ತಿ ಇದಾನೆ ಅಂತಾ ಅವ್ನೆ ಹೇಳಿದನೇ ಷಂಡ... ಬಳೆಗಾರ	Not-Hope
Brother u r awesome	Hope
Super brother.           Rajakiya laba yenidide    ano yochane	Not-Hope
Ur brilliant.... neevu helida haage fb twitter alli comments hakta kuthkobek aaguthe	Not-Hope
Thank u thank u so much	Not-Hope
Hands up Eddu charitra srustiso avatar a	Hope
Sir chinag Takkar kodo innond deshaneilva    prapanchdalli	Not-Hope
Nkn sakkat guru....	Hope
Supper pa ........ Continue the work. ...  Tiktok videos nodi nodi thale kettogithu.............jai modi jai jai modi......	Not-Hope
Gandu loafer jeena	Not-Hope
ನೀವು ತುಂಬಾ ಸ್ವಾಭಿಮಾನದ ವ್ಯಕ್ತಿ. ಶುಭಾಶಯಗಳು	Hope
Idhu charitre srushtisuva avataara......	Hope
first time keldaga ista agalla amel kelta kelta kelbeku ansatte.. nimgu haage annista	Hope
Nim yella maathu nam prathidina jeevana dalli bekadudhe. nnivu genuine	Hope
#BOSS FAN'S YELLA LIKE MADRO	Not-Hope
ದಿಯಾ ಚಲನಚಿತ್ರ ತುಂಬಾನೇ ಚೆನ್ನಾಗಿದೆ. ಸ್ವಲ್ಪ ಪ್ರಚಾರದಲ್ಲಿ ಕೊರತೆ ಇರಬಹುದು. ಹಾಡುಗಳನ್ನ ಹಾಕಿದ್ದರೆ ಇದು ಇನ್ನೊಂದ್ದು ಮುಂಗಾರು ಮಳೆ ಆಗುತಿತ್ತು. ಹಾಟ್ಸ್ ಆಫ್ ಟು ಡೈರೆಕ್ಟರ್ ಅಶೋಕ್	Hope
ಕಿರಣ್ ಶಾಲಿ... ಇಲ್ಲಿ ಕೊಟ್ಟಿದೀನಿ ನೋಡು ಈ ಲಿಂಕ್  ಕ್ಲಿಕ್ ಮಾಡು	Not-Hope
ಏನ್ ಸಾಂಗ್ ಗುರು ಮಸ್ತ್...	Hope
ಗಾಳಿ ಮಾತಿನ ಬಜಾರು ಸುದ್ದಿ ಸಾರಿದೆ ಸುಮಾರು	Hope
Sakat swabhimani sir nivu	Hope
@Nandi Parthasarathi ನೀನೇನು ಬರೋದು ತುಲ್ಲೇ ನಾನೆ ಬರ್ತೀನಿ ಬೋಳಿಮಗನೇ crct ಅಡ್ರೆಸ್ ಹೇಳೋ ಬೇಕೂಪ	Not-Hope
ಇದು ಪಕ್ಕಾ ಶಂಕರ್ ನಾಗ್ ಸ್ಟೇಲ್ ...... ಟ್ರೈಲರ್ ಅಷ್ಟೇ ಸಾಂಗ್ ಅಷ್ಟೇ .........  ಸರಿ ಏನೇ ಇರಲಿ ಓಳ್ಳೇದಾಗಲಿ.... ನಮ್ಮ ಭಾಷೆ ನಮ್ಮ ಹಿರಿಮೆ	Not-Hope
Wow nice yavaglu keltane irbeku ansutte song	Hope
Hindugale heege mathadudre bere caste avaru innu enen mathadalla	Not-Hope
ಇಂತವರಿಗೆ ಟಪ ಟಪ ಟಪ ಟಪ ಹೊಡಿಬೇಕು	Not-Hope
ನಿಜnnn ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರnnnಕೆಜಿಎಫ್ ದಾಖಲೆ ಮುರಿದುಹೋಗುತ್ತದೆnnಕೆಜಿಎಫ್ ಚಾಪ್ಟರ್ 2nಬಂದು ಇದರ ದಾಖಲೆ ಮುರಿಯಬೇಕು ಅಷ್ಟೇ ಅದು ಸಹ ಅನುಮಾನnnಯಾಕೆಂದರೆnಮುಂದೆ ಪುಣ್ಯಕೋಟಿ ಬರ್ತಾ ಇದೆ	Hope
Hindi song yalli	Not-Hope
Whitefield nalli yav theatre nallu hakalla kachada nanmaklu nodoke	Not-Hope
Idu yaavdo tamil film remake guru	Not-Hope
KGF (chaffer 2) bega bara beku	Not-Hope
Ajaneesh ka music kuch hatke hain	Not-Hope
Nice janapada shyale	Not-Hope
Super bro nim vioce ale ede desha Prema full enjoy video super	Hope
Vijay praksh super voice	Not-Hope
Haageye e onedu shikariya kathege nannadondu like erlapa	Not-Hope
Nin naman sule Gandu boli dagar drashan	Not-Hope
Elli politics jasti and beliyokke bedalla hotte kirchu padthare	Not-Hope
St super Dr but kutanalli kutapa songs  net nalli Ella plz nahu kelbekku sr	Not-Hope
Remake mado herogaliginthanE thara swamake madoru bekunNam industry genRemake yella wastenSwamke is best	Not-Hope
Nijavaagalu charithre srishtisida avathaara ee Rakshtitha shettaradu. Hatsup.	Hope
ಆಲ್ ದಿ ಬೆಸ್ಟ್ ಫ್ರಮ್ ಡಿಬಾಸ್ ಫ್ಯಾನ್	Not-Hope
ಚಮಯ್ಯ ಮೇಸ್ಟ್ರು ಅವರ ಆಶೀರ್ವಾದ ಯಾವಾಗಲೂ ಇರುತ್ತೆ ನಿಮ್ಮಲ್ಲಿ ಸ್ವಾಭಿಮಾನ ಇದೆ ಆಗು ನಿಮ್ಮಲ್ಲಿ ಒಂದು ಛಲ ಇದೆ	Hope
I'm full happy bro 🤣🤣	Not-Hope
Love u bro	Hope
ದೃಷ್ಟಿ ಇವನೊಬ್ಬನ ಮೇಲಿಡಿ nತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ	Hope
Pakka.bro ..100% nija	Not-Hope
@prithvi nayak ನಿಮ್ಮ ಅಕ್ಕುನ್ ಮಿಂಡ ನಾನೆ	Not-Hope
Binduge saryagi ugithidira good go ahead  we are enjoying well	Not-Hope
Yen dialog hoditiya guru super	Hope
Avra manelli yavagadru hoddu sayisudre gottagutte kittod nan maklige tik tok yak ban madbeku andorge saryagelidira bro	Not-Hope
Next level gurunin benki bhai	Not-Hope
Ditto shankranna kandru aa step hakovaaga	Not-Hope
pakka flop movie!!	Not-Hope
Hauda angadre hogi avn tunne unnu	Not-Hope
ಸೂಪರ್  tune	Not-Hope
We support definitely to this film to increase the value of our  sandalwood * the power of kannada movie*  ( ಇದನ್ನು ಇಂಗ್ಲಿಷ್ ನಲ್ಲಿ ಬರ್ದಿರೋದು ಬೇರೆಯವರಿಗೂ ತಿಳಿಯಲಿ ಎಂದು ಒಳ್ಳೆಯ ಸಿನಿಮಾಗಳಿಗೆ ಸಪೋರ್ಟ್ ಮಾಡೋಣ)	Hope
Mistake is done in promotion. Ee movie ge nan hogiddu flook alli coz nan friends yavdo ond movie ge hogonnan ankond yavdu show ilde idyavdo olle review idyalla movie antha hodvi. But ee movie sakkath feel kodthu. Later nam friends ge heli kalsdvi	Not-Hope
Allappa beta aaa	Not-Hope
Rakshit Shetty fans ondhu like Madi	Not-Hope
Sule magne nin maneli yava china product ilva	Not-Hope
ಲವ್ ಯೂ ಡಿ ಬಾಸ್	Not-Hope
Good ..but small dout karavali bittu berekade content sigalva.	Not-Hope
Super song  anna🤓	Hope
Hands up! Naaney sriman Narayanan! Just felt like saying I am Bond	Hope
Music sup company	Not-Hope
D'Boss fan kade inda full support bro....	Not-Hope
Naavu iddivi nnnEe haadannu cover song prepare madtaidivi nn	Not-Hope
ಏನಾದರೂ ತಪ್ಪಿದ್ದರೆ ಕ್ಷಮೆ ಇರಲಿ..nಹೀಗೆ support ಮಾಡ್ತೀರಿ ನಾನು ನಿಮಗೆ entertainment ಕೊಡ್ತಿರ್ತಿನಿ...nಹಾಗೆ instgram ಅಲ್ಲೂ ಕೂಡ follow ಮಾಡಿn	Not-Hope
Nanu 2 sala nodidini	Not-Hope
@TROLL MONSTER_KANNADA lai dagar fansu jaggu dada flop u kurukshetra flopu tarak flop u	Not-Hope
ಇದು ಚರತ್ರೆ ಸೃಷ್ಟಿಸೂೋ ಅವತಾರ ............	Hope
Nijave idhu charitre srustiso avatharane bidi	Hope
idella nodidre sarvadikarane sari ansutte. prajaprabhutdvalli 1000 bhrashtaru. sarvadikara adalitadalli obbane bhrashta. adakke soudi	Not-Hope
ಒಂದ್ ಸಲ ನಿನ್ ಮುಖ ತೋ ರ್ ಸು ಗುರ್ವೆ	Not-Hope
ಮೆರೆಯಲಿ ಗಗನದಲಿ ನಿಮ್ಮ ಲಾಂಛನ	Hope
Sooper maga 🤗 u r a true Indian	Hope
Srinidhi ಶ್ರೀ w	Not-Hope
Super conceptnReally Prajwal Devaraj eetara cinema select madi madtare ankondirlilla super concept	Hope
Anna game yavdu	Not-Hope
Pap pabap pap pabapabapap!nTin ti din tin tiditididinnRead in a flownnADDITCTED	Not-Hope
Super agi helidera bro soooooper	Not-Hope
ಸ್ವಾಭಿಮಾನಿ ದೇವತ ಪುರುಷನ ಮಗ... ತಕ್ಕಂತೆ ಇದಾರೆ	Hope
Ya u true	Not-Hope
@Thejas Gowda avnu oba uneducated slum sulemaga..adke yaneno bogltane🤣🤣	Not-Hope
Bro nan kade enda nimg gondhu salam.	Hope
Super duper movie and song	Not-Hope
@Samyak H P ಖಂಡಿತವಾಗಿಯೂ	Not-Hope
ನಿಜ್ವಗ್ಲೂ ಇದು ಸತ್ಯ ನಾ	Not-Hope
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಠಿಸೊ ಅವತಾರ	Hope
@Avinashdada kichcha sari bidu nimamman kalsu keydu ningobba chik balegaran hutsi kalsthivi avnu nim bale serskondu ella ottige Kai thattivranthe signal alli enanthira bale pans now bale pans reaction hakro steppu	Not-Hope
Super guru	Hope
Salute you sir. I met once you. I am happy	Hope
Don't worry Sir kayakave kailasa	Hope
Anna sakath agi mathadiddira	Hope
Paramedical exam bagge mahiti tilisi sir	Not-Hope
Curiousity thumba jaasthi aagthide bega release maddri	Not-Hope
@VARAPRASAD K K shaata dagaar Savi Savi nenapu dagaar soole darshan though DeepunAA mudya choolbart kittod mukhakke thank thumba hair wigngaddakku shaata kittu anskondidaane choolbart.  avnige mettina haarane kodbeku🤣🤣	Not-Hope
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ	Not-Hope
bro same video part 2 madu bro please plsssssssssssssssssssssssssssssssssssss swalpa bindu Gowda na akond roaste madu bro	Not-Hope
ಸರ್.. ನಾನು ಪ್ರೊ॥ ಶಂಭು ಬಳಿಗಾರ ಅವರ ಅಭಿಮಾನಿ.. ನಾನು ಅವರ ಇ ೬ ಆಡಿಯೋಗಳನ್ನು ಸುಮಾರು ೧೦೦೦ ಕ್ಕಿಂತಲೂ ಹೆಚ್ಚು ಬಾರಿ ಕೇಳಿದ್ದೀನಿ.. nಕೆರೆಗೆ ಹಾರ..nಗೋಧಿ ಹುಗ್ಗಿ ಗಂಗಯ್ಯ..nತೊಗರಿ ತಿಪ್ಪ-೧..nತೊಗರಿ ತಿಪ್ಪ-೨..nಹಾಲುಂಡ ತವರು..nನುಚ್ಚಿನ ಮಲ್ಲಯ್ಯ..nnಸರ್.. ನೀವು ನಿರೂಪಿಸಿರುವ ಮತ್ತೆ ಯಾವ ಯಾವ ರಚನೆಗಳಿವೆ.. ದಯವಿಟ್ಟು ತಿಳಿಸಿ ಸರ್.	Hope
@Mahesh Babu ninu Kalasipalya Sule fan alwa	Not-Hope
Oooo super sir	Hope
@twisted formals yake urita edeya nivu dagar fans anta nim culture ende gottu agute modlu sariyagi mat adu magne modle Gulbarga mandi navu start madre ninu eral nin avvun tullu clean madsu	Not-Hope
Super  bro	Hope
Fans wars bittu Nam Kannada films belibeku annoru like madi..	Not-Hope
Please upload Full movie original bgm	Not-Hope
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ nಅವನೇ ಶ್ರೀಮನ್ ನಾರಾಯಣ	Hope
Super....bGOOD d boss's .like hear	Not-Hope
yen guru nam kannada film industry na yellaru seri bere level ge tagondu hogthaa iddare... superb music	Not-Hope
