,Sentence,label
1902,Amazing song!..... Mind blowing.......!,Not-Hope
4987,Supeeeeeeeeeeeeeeeer  .................. nam ajjii held nenap,Not-Hope
7021,super bro,Hope
6204,Sakkataag baididiya guru,Not-Hope
6526,Kelsa yavdadrenu maadu guru,Not-Hope
6998,Sir neev adthidda game yavdu,Not-Hope
1082,@Nandi Parthasarathi ನಿ ಹಾದರಗಿತ್ತಿ,Not-Hope
1714,ಹೊಲಸ ರಾಜಕಿಯ ದಿಂದ ನಮ್ಮ ದೆಶ ಅದಕ್ಕೆ ಹಿಂದ ಉಳಿದಿದೆ,Hope
6579,Yav kaldan mare nin,Not-Hope
938,ಚಳಿಗಾಲದಲ್ಲಿ ಹೆಂಡ್ತೀನ ಬಿಟ್ಟಂಗಾಗಿದೆ Tik tokers ಸ್ಥಿತಿ Like a  ಹೀಟ್ ಗೆ ಬಂದಿರೋ ನಾಯಿ ತರ,Not-Hope
1584,@Rohith K le nin dagar bandli agtavne modlu kudlu olskoloke yelu ella nin avnu musodilla🤣🤣,Not-Hope
428,NANGOOO KOODA...🤩nNAN UTUBE NALLI NODIDE...,Not-Hope
2628,SUPERB SONG .........,Hope
3899,@Rajashekar Khandare ಕ್ರಷ್ಣನೇ ಶಾಪ ಕೊಡುವುದು ...ಮಯ್ಯಲ್ಲಿ ಕೀವು ತುಂಬಿ ಚಿರಂಜೀವಿ ಆಗಿ ತಿರುಗಾಡುತ್ತಾ ಇರು ಅಂತ....,Not-Hope
2086,I'm sensing Rango like story,Not-Hope
1514,Kiccha fans kade inda congratulations pajju,Not-Hope
783,ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಸಂಗೀತ ಮತ್ತೊಮ್ಮೆ ಅವನ ರೂಪದಲ್ಲಿ ಹುಟ್ಟಿತುnಯಾರ್ ಅವನು🤔?nಅವನೇ ನಮ್ಮ ಲೋಕನಾಥ🤩 ಅಜನೀಶ್..nMusic blasted,Hope
3130,ಹೌದು ಸ್ವಾಮಿ ಇಂತ ನನ್ ಮಕ್ಕಳಿಗೆ ಎಷ್ಟು ಉಗಿದರೂ ಬುದ್ಧಿ ಬರಲ್ಲ ನಮ್ಮಲ್ಲೇ ಹೌರೆ ಶತ್ರುಗಳು ಐ ಡೋಂಟ್ ಲೈಕ್ ಚೈನಾ,Not-Hope
1411,D Boss support idre sinima gellutte no doubt,Not-Hope
1761,tq super sir,Not-Hope
96,Guru chaines apps yavyavu antha ondhu list kodi avna nam mobile ali instal madala,Not-Hope
6785,You are true,Not-Hope
1026,D boss movie henge irli fans hatrikk maadtare pakka,Not-Hope
24,ತುಂಬಾ ಚೆನ್ನಾಗಿ ಮತಾಡ್ತಿಯ,Not-Hope
82,Spr bro...,Hope
259,Neen build up films nodkindu irappa..illi yake bande..?,Not-Hope
184,starting baro music kundavani ಕುಂದಾಪುರದ u remake,Hope
5469,But olle cinima gedde gellutte... ASN  🤘,Hope
3031,Superb song Guru,Not-Hope
2418,FOCUS KARNATAKA howdhu 🤪,Hope
3853,Tik tok almadidu aythu innu instagram alva anna nam support ede anna,Hope
3566,Nivu deshada Ella moole moole bidade suttidira. Avaru hagella sikka sikka varigella kanisikolluvudilla,Not-Hope
2642,I love u sir,Not-Hope
3439,Nani kannd movie .,Not-Hope
658,ಕಂಚಿನ ಕಂಠದಲ್ಲಿ ಮೂಡಿ ಬಂದ ತೊಗರಿತಿಪ್ಪ ಹಳೇ ನೆನಪು ತಾಜಾ ಮಾಡಿತು,Hope
1054,@Ŕävîñđŕå_02_GøWđřú ನಿಮ್ಮ ಅಂತಾ ಅರ್ಧ ಬರ್ದ ಫ್ಯಾನ್ ಅವಶ್ಯಕತೆ ನಮ್ boss ge ಬೇಡ ಹೋಗೋಲೆ ಲೌಡೆ ಷಂಡ,Not-Hope
5709,Bega release madi sir... Hindi and other languages alli MASALA films na nodtidare jana ( actually khaali hoditide  ). E film annu release madi,Not-Hope
5230,@Nandi Parthasarathi ಹಾದರಗಿತ್ತಿ,Not-Hope
4321,ಹಳೆಯ ನೆನಪು...ತೋಗರಿ ತಿಪ್ಪ,Hope
5798,Idu charitre srushtiso avatara...n*A*S*N*nYar yaru movie nodi like agide,Hope
885,ಪ್ರಜ್ವಲ್ ಸರ್ ನಟಿಸಿರುವ ಜಂಟಲ್ ಮ್ಯಾನ್ ಚಿತ್ರದ ಟ್ರೈಲರ್ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ ಆಲ್ ದ ಬೆಸ್ಟ್ ಜೆಂಟಲ್ ಮ್ಯಾನ್ ಚಿತ್ರ ತಂಡದವರಿಗೆnಇಷ್ಟ ಇದ್ರೆ ನಮ್ಮ ದೌಲತ್ ಕಿರುಚಿತ್ರದ ಫಸ್ಟ್ ಲುಕ್ ನೋಡಿ ಕೆಳಗೆ ಲಿಂಕ್ ಕೊಟ್ಟಿದ್ದೇವೆn,Hope
3400,@prithvi nayak ಚಪ್ಪರ್ ಬೋಳಿಮಕ್ಳ.. ಲುಚ್ಛನ್ ಫ್ಯಾನ್ಸ್ ಬುದ್ದಿ ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತೆ ಎಲ್ಲಿ ಹೋದ್ರು ಬರಿ ಉರ್ಕೋಳ್ಳೋದೇ ಆಯ್ತು ನಿಮ್ಮ ಜನ್ಮಕ್ಕೆ.. ನಿಮ್ಮ ಲುಚನ್ಗೆ ಹೇಳ್ದ್ರೋ ಒಂದಾದ್ರು ಹಿಟ್ ಸೀರಿಯಲ್ ಕೊಡು ಅಂತಾ ಪೈಲ್ವಾನ್ ಸೀರಿಯಲ್ ಆಲ್ಸೋ ಫ್ಲಾಪ್,Not-Hope
2350,Really ... Diya Karnataka crush agbitidare... Nija taane...? Love u diya,Hope
662,Ati sundarvada hasya chataki,Hope
1545,Prajju yav dress hakudru super aage kantane ..,Not-Hope
1595,@Ambrish Mallad beliyodu shata,Not-Hope
2074,Bhuvan Naik wow man awesome,Not-Hope
1503,Nkn yan trailer guru maiye jumm anthu wow amazing,Hope
2503,ಆಗೇ ಆಗತ್ತೆ 50 million + just wait,Hope
3201,ತೊಗರಿ ತಿಪ್ಪ ಸೂಪರ್ ಗುರು,Hope
5672,Sar super song,Not-Hope
5336,China para mat adoru china ke kalsbek bolimaklu,Not-Hope
6383,ಅದ್ಭುತ ಕನ್ನಡ ಸಿನಿಮಾ,Not-Hope
7227,Jai Kirk Star,Not-Hope
3182,Ultimate bro,Not-Hope
2179,ನಿಮ್ಮ ವ್ಯಕ್ತಿತ್ವ ದೇವರಂಥಹದು,Hope
6620,Padya baree sokundu shetre,Not-Hope
4988,ತುಂಬಾ ವರ್ಷದ ಹಿಂದೆ ಕೇಳಿದ್ದೆ.ಈಗ ಸಿಕ್ಕಿದ್ದು ಸಕತ್ ಖುಷಿ ಆಗಿದೆ,Hope
6474,Suuper bro... nan idu vargu tik tok app install made illa,Not-Hope
6957,So good boss,Not-Hope
3688,Olle singer Brw ninu,Not-Hope
3574,Super hands up..,Not-Hope
2315,@nageshwar nagu mungaru male khaali odtirlilla 50℅ prekshakaru bartidru 3rd week nantra 100℅ adru,Not-Hope
3821,Guru avrkina nine over agi adta  idiya,Not-Hope
5983,Delete hadru nanu downloade made,Not-Hope
3322,@Nandi Parthasarathi gottu Neenu cheeti tulla fan antha change madbeda,Not-Hope
4197,ನಿಜವಾದ ಹೀರೋ ನೀವು sir ಸ್ವಾಭಿಮಾನದ ಗುರು ನೀವು,Hope
3190,niv helid nija star antha bere akotidru karma,Hope
5423,ಹೊಸ ಇತಿಹಾಸ ಸೃಷ್ಟಿಸಿದ ಸಿನಿಮಾಗಳ ಸಾಲಿಗೆ ಸೇರಲಿ . ..ಜೈ d boss,Hope
759,Who is dagar .... Rashmika ...?,Not-Hope
5430,2nd time yaar nodtha ideera,Not-Hope
2056,@nkn havali nin astu urkondilla pa,Not-Hope
765,ಇದು ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಚರಿತ್ರೆ ಸೃಟಿಸೂ ಅವತಾರ ಯಾರ್ ಅವನು .......... (ಅವನೇ ಶ್ರೀಮನಾರಾಯಣ) All The Best D B055 fan,Hope
4784,ಕನ್ನಡ is super,Not-Hope
3615,Avane Srimannarayana Trailer-BGM n          Re-Createdn,Not-Hope
5545,Yapaa devre spr agi rost madidira sprrr,Not-Hope
5575,Hinene sariyagide sir,Not-Hope
7213,@Pradeep.Uppi. Uppi.,Not-Hope
942,Bindu Gowda idko nan Lowda.🤣,Not-Hope
6733,Dislikers r fans of rasmika,Not-Hope
3418,@Kiccha Vitthal ಹೋಗಿ ಸುದೀಪ್ ಹಳೆ interview ನೋಡು ಯಾರಿಗೆ ಫ್ಯಾನ್ following ಜಾಸ್ತಿ ಇದಾನೆ ಅಂತಾ ಅವ್ನೆ ಹೇಳಿದನೇ ಷಂಡ... ಬಳೆಗಾರ,Not-Hope
3124,Brother u r awesome,Hope
5648,Super brother.           Rajakiya laba yenidide    ano yochane,Not-Hope
1735,Ur brilliant.... neevu helida haage fb twitter alli comments hakta kuthkobek aaguthe,Not-Hope
4027,Thank u thank u so much,Not-Hope
6734,Hands up Eddu charitra srustiso avatar a,Hope
4446,Sir chinag Takkar kodo innond deshaneilva    prapanchdalli,Not-Hope
5477,Nkn sakkat guru....,Hope
7053,Supper pa ........ Continue the work. ...  Tiktok videos nodi nodi thale kettogithu.............jai modi jai jai modi......,Not-Hope
39,Gandu loafer jeena,Not-Hope
4102,ನೀವು ತುಂಬಾ ಸ್ವಾಭಿಮಾನದ ವ್ಯಕ್ತಿ. ಶುಭಾಶಯಗಳು,Hope
6653,Idhu charitre srushtisuva avataara......,Hope
2044,first time keldaga ista agalla amel kelta kelta kelbeku ansatte.. nimgu haage annista,Hope
2172,Nim yella maathu nam prathidina jeevana dalli bekadudhe. nnivu genuine,Hope
1363,#BOSS FAN'S YELLA LIKE MADRO,Not-Hope
2373,ದಿಯಾ ಚಲನಚಿತ್ರ ತುಂಬಾನೇ ಚೆನ್ನಾಗಿದೆ. ಸ್ವಲ್ಪ ಪ್ರಚಾರದಲ್ಲಿ ಕೊರತೆ ಇರಬಹುದು. ಹಾಡುಗಳನ್ನ ಹಾಕಿದ್ದರೆ ಇದು ಇನ್ನೊಂದ್ದು ಮುಂಗಾರು ಮಳೆ ಆಗುತಿತ್ತು. ಹಾಟ್ಸ್ ಆಫ್ ಟು ಡೈರೆಕ್ಟರ್ ಅಶೋಕ್,Hope
3883,ಕಿರಣ್ ಶಾಲಿ... ಇಲ್ಲಿ ಕೊಟ್ಟಿದೀನಿ ನೋಡು ಈ ಲಿಂಕ್  ಕ್ಲಿಕ್ ಮಾಡು,Not-Hope
1320,ಏನ್ ಸಾಂಗ್ ಗುರು ಮಸ್ತ್...,Hope
4650,ಗಾಳಿ ಮಾತಿನ ಬಜಾರು ಸುದ್ದಿ ಸಾರಿದೆ ಸುಮಾರು,Hope
624,Sakat swabhimani sir nivu,Hope
5236,@Nandi Parthasarathi ನೀನೇನು ಬರೋದು ತುಲ್ಲೇ ನಾನೆ ಬರ್ತೀನಿ ಬೋಳಿಮಗನೇ crct ಅಡ್ರೆಸ್ ಹೇಳೋ ಬೇಕೂಪ,Not-Hope
169,ಇದು ಪಕ್ಕಾ ಶಂಕರ್ ನಾಗ್ ಸ್ಟೇಲ್ ...... ಟ್ರೈಲರ್ ಅಷ್ಟೇ ಸಾಂಗ್ ಅಷ್ಟೇ .........  ಸರಿ ಏನೇ ಇರಲಿ ಓಳ್ಳೇದಾಗಲಿ.... ನಮ್ಮ ಭಾಷೆ ನಮ್ಮ ಹಿರಿಮೆ,Not-Hope
7185,Wow nice yavaglu keltane irbeku ansutte song,Hope
7389,Hindugale heege mathadudre bere caste avaru innu enen mathadalla,Not-Hope
7018,ಇಂತವರಿಗೆ ಟಪ ಟಪ ಟಪ ಟಪ ಹೊಡಿಬೇಕು,Not-Hope
3653,ನಿಜnnn ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರnnnಕೆಜಿಎಫ್ ದಾಖಲೆ ಮುರಿದುಹೋಗುತ್ತದೆnnಕೆಜಿಎಫ್ ಚಾಪ್ಟರ್ 2nಬಂದು ಇದರ ದಾಖಲೆ ಮುರಿಯಬೇಕು ಅಷ್ಟೇ ಅದು ಸಹ ಅನುಮಾನnnಯಾಕೆಂದರೆnಮುಂದೆ ಪುಣ್ಯಕೋಟಿ ಬರ್ತಾ ಇದೆ,Hope
1658,Hindi song yalli,Not-Hope
6463,Whitefield nalli yav theatre nallu hakalla kachada nanmaklu nodoke,Not-Hope
1470,Idu yaavdo tamil film remake guru,Not-Hope
4735,KGF (chaffer 2) bega bara beku,Not-Hope
1330,Ajaneesh ka music kuch hatke hain,Not-Hope
5106,Nice janapada shyale,Not-Hope
7027,Super bro nim vioce ale ede desha Prema full enjoy video super,Hope
5768,Vijay praksh super voice,Not-Hope
2933,Haageye e onedu shikariya kathege nannadondu like erlapa,Not-Hope
2997,Nin naman sule Gandu boli dagar drashan,Not-Hope
1748,Elli politics jasti and beliyokke bedalla hotte kirchu padthare,Not-Hope
3218,St super Dr but kutanalli kutapa songs  net nalli Ella plz nahu kelbekku sr,Not-Hope
4020,Remake mado herogaliginthanE thara swamake madoru bekunNam industry genRemake yella wastenSwamke is best,Not-Hope
3019,Nijavaagalu charithre srishtisida avathaara ee Rakshtitha shettaradu. Hatsup.,Hope
2991,ಆಲ್ ದಿ ಬೆಸ್ಟ್ ಫ್ರಮ್ ಡಿಬಾಸ್ ಫ್ಯಾನ್,Not-Hope
4137,ಚಮಯ್ಯ ಮೇಸ್ಟ್ರು ಅವರ ಆಶೀರ್ವಾದ ಯಾವಾಗಲೂ ಇರುತ್ತೆ ನಿಮ್ಮಲ್ಲಿ ಸ್ವಾಭಿಮಾನ ಇದೆ ಆಗು ನಿಮ್ಮಲ್ಲಿ ಒಂದು ಛಲ ಇದೆ,Hope
6084,I'm full happy bro 🤣🤣,Not-Hope
87,Love u bro,Hope
4827,ದೃಷ್ಟಿ ಇವನೊಬ್ಬನ ಮೇಲಿಡಿ nತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ,Hope
2585,Pakka.bro ..100% nija,Not-Hope
3396,@prithvi nayak ನಿಮ್ಮ ಅಕ್ಕುನ್ ಮಿಂಡ ನಾನೆ,Not-Hope
7040,Binduge saryagi ugithidira good go ahead  we are enjoying well,Not-Hope
6185,Yen dialog hoditiya guru super,Hope
3169,Avra manelli yavagadru hoddu sayisudre gottagutte kittod nan maklige tik tok yak ban madbeku andorge saryagelidira bro,Not-Hope
6831,Next level gurunin benki bhai,Not-Hope
741,Ditto shankranna kandru aa step hakovaaga,Not-Hope
7329,pakka flop movie!!,Not-Hope
1561,Hauda angadre hogi avn tunne unnu,Not-Hope
4575,ಸೂಪರ್  tune,Not-Hope
6645,We support definitely to this film to increase the value of our  sandalwood * the power of kannada movie*  ( ಇದನ್ನು ಇಂಗ್ಲಿಷ್ ನಲ್ಲಿ ಬರ್ದಿರೋದು ಬೇರೆಯವರಿಗೂ ತಿಳಿಯಲಿ ಎಂದು ಒಳ್ಳೆಯ ಸಿನಿಮಾಗಳಿಗೆ ಸಪೋರ್ಟ್ ಮಾಡೋಣ),Hope
2320,Mistake is done in promotion. Ee movie ge nan hogiddu flook alli coz nan friends yavdo ond movie ge hogonnan ankond yavdu show ilde idyavdo olle review idyalla movie antha hodvi. But ee movie sakkath feel kodthu. Later nam friends ge heli kalsdvi,Not-Hope
329,Allappa beta aaa,Not-Hope
4788,Rakshit Shetty fans ondhu like Madi,Not-Hope
5368,Sule magne nin maneli yava china product ilva,Not-Hope
1409,ಲವ್ ಯೂ ಡಿ ಬಾಸ್,Not-Hope
3933,Good ..but small dout karavali bittu berekade content sigalva.,Not-Hope
3761,Super song  anna🤓,Hope
6672,Hands up! Naaney sriman Narayanan! Just felt like saying I am Bond,Hope
1952,Music sup company,Not-Hope
7281,D'Boss fan kade inda full support bro....,Not-Hope
221,Naavu iddivi nnnEe haadannu cover song prepare madtaidivi nn,Not-Hope
1261,ಏನಾದರೂ ತಪ್ಪಿದ್ದರೆ ಕ್ಷಮೆ ಇರಲಿ..nಹೀಗೆ support ಮಾಡ್ತೀರಿ ನಾನು ನಿಮಗೆ entertainment ಕೊಡ್ತಿರ್ತಿನಿ...nಹಾಗೆ instgram ಅಲ್ಲೂ ಕೂಡ follow ಮಾಡಿn,Not-Hope
4899,Nanu 2 sala nodidini,Not-Hope
3392,@TROLL MONSTER_KANNADA lai dagar fansu jaggu dada flop u kurukshetra flopu tarak flop u,Not-Hope
7285,ಇದು ಚರತ್ರೆ ಸೃಷ್ಟಿಸೂೋ ಅವತಾರ ............,Hope
7346,Nijave idhu charitre srustiso avatharane bidi,Hope
4413,idella nodidre sarvadikarane sari ansutte. prajaprabhutdvalli 1000 bhrashtaru. sarvadikara adalitadalli obbane bhrashta. adakke soudi,Not-Hope
947,ಒಂದ್ ಸಲ ನಿನ್ ಮುಖ ತೋ ರ್ ಸು ಗುರ್ವೆ,Not-Hope
6902,ಮೆರೆಯಲಿ ಗಗನದಲಿ ನಿಮ್ಮ ಲಾಂಛನ,Hope
6046,Sooper maga 🤗 u r a true Indian,Hope
368,Srinidhi ಶ್ರೀ w,Not-Hope
326,Super conceptnReally Prajwal Devaraj eetara cinema select madi madtare ankondirlilla super concept,Hope
3867,Anna game yavdu,Not-Hope
5405,Pap pabap pap pabapabapap!nTin ti din tin tiditididinnRead in a flownnADDITCTED,Not-Hope
15,Super agi helidera bro soooooper,Not-Hope
4171,ಸ್ವಾಭಿಮಾನಿ ದೇವತ ಪುರುಷನ ಮಗ... ತಕ್ಕಂತೆ ಇದಾರೆ,Hope
6585,Ya u true,Not-Hope
3634,@Thejas Gowda avnu oba uneducated slum sulemaga..adke yaneno bogltane🤣🤣,Not-Hope
4025,Bro nan kade enda nimg gondhu salam.,Hope
1171,Super duper movie and song,Not-Hope
4866,@Samyak H P ಖಂಡಿತವಾಗಿಯೂ,Not-Hope
3909,ನಿಜ್ವಗ್ಲೂ ಇದು ಸತ್ಯ ನಾ,Not-Hope
1996,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಠಿಸೊ ಅವತಾರ,Hope
2980,@Avinashdada kichcha sari bidu nimamman kalsu keydu ningobba chik balegaran hutsi kalsthivi avnu nim bale serskondu ella ottige Kai thattivranthe signal alli enanthira bale pans now bale pans reaction hakro steppu,Not-Hope
6147,Super guru,Hope
4172,Salute you sir. I met once you. I am happy,Hope
4229,Don't worry Sir kayakave kailasa,Hope
3162,Anna sakath agi mathadiddira,Hope
1775,Paramedical exam bagge mahiti tilisi sir,Not-Hope
324,Curiousity thumba jaasthi aagthide bega release maddri,Not-Hope
2979,@VARAPRASAD K K shaata dagaar Savi Savi nenapu dagaar soole darshan though DeepunAA mudya choolbart kittod mukhakke thank thumba hair wigngaddakku shaata kittu anskondidaane choolbart.  avnige mettina haarane kodbeku🤣🤣,Not-Hope
4874,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Not-Hope
6103,bro same video part 2 madu bro please plsssssssssssssssssssssssssssssssssssss swalpa bindu Gowda na akond roaste madu bro,Not-Hope
